Total Return,Sharpe Ratio,Max Drawdown
0.1297474952798309,1.0329041559690717,-0.0545057464151524
0.1690227225568426,1.4316756928245584,-0.0507135219405225
0.1871672020771768,1.5868562764828869,-0.0507135219405224
0.1802996323481684,1.5239786886992603,-0.0507135219405225
0.1811115471825148,1.530472501022222,-0.0507135219405224
0.189061058940654,1.589023316737825,-0.0507135219405225
0.1773569825013188,1.4835369185714171,-0.0507135219405223
0.1832273027120605,1.5343556614215372,-0.0507135219405223
0.2050179711597648,1.7423348771935547,-0.0507135219405224
0.2228335118059305,1.8727210881622125,-0.0507135219405227
0.2382065573772276,2.001777999969921,-0.0507135219405223
0.2006433711025395,1.7143171283357672,-0.0507135219405222
0.2044531856083533,1.749375507209248,-0.0507135219405224
0.2164579896144871,1.836142985794324,-0.0507135219405222
0.220821324499673,1.8725699711384185,-0.050713521940523
0.2346451352967542,1.964169092767452,-0.0507135219405223
0.211547806331279,1.772740683411568,-0.050713519408159935
